instante_t+1,id_nodo,Set_Type,Target_Class,HA_max_t0,HA_mean_t0,HA_min_t0,HS10_max_t0,HS10_mean_t0,HS10_min_t0,HS30_max_t0,HS30_mean_t0,HS30_min_t0,HS60_max_t0,HS60_mean_t0,HS60_min_t0,TA_max_t0,TA_mean_t0,TA_min_t0,radiacion_max_t0,radiacion_sum_t0,HA_max_t+1,HA_mean_t+1,HA_min_t+1,HS10_max_t+1,HS10_mean_t+1,HS10_min_t+1,HS30_max_t+1,HS30_mean_t+1,HS30_min_t+1,HS60_max_t+1,HS60_mean_t+1,HS60_min_t+1,TA_max_t+1,TA_mean_t+1,TA_min_t+1,radiacion_max_t+1,radiacion_sum_t+1
2021-09-08,4,Train_CV,0,80.57997,49.312681125000005,29.52535,0.7866806787489632,0.7376256725871561,0.6969983014861997,0.7742228804560799,0.7420430893464895,0.7074934286216578,0.813127750731522,0.8086481991489357,0.8054500358468922,31.220833,25.983333166666668,21.458334,812.0,5622.0,76.917076,51.52490329166667,26.52381,0.7396934253276987,0.6994512912348734,0.6900588059996098,0.7068303422005745,0.6923401494650233,0.6792303683838045,0.8124743716829586,0.8060406908405678,0.8023203398985025,34.595833,26.841840666666663,22.004166,822.0,6109.0
2021-09-09,4,Train_CV,0,76.917076,51.52490329166667,26.52381,0.7396934253276987,0.6994512912348734,0.6900588059996098,0.7068303422005745,0.6923401494650233,0.6792303683838045,0.8124743716829586,0.8060406908405678,0.8023203398985025,34.595833,26.841840666666663,22.004166,822.0,6109.0,64.992744,39.72142079166667,22.353874,0.7067644389682752,0.6913623358459993,0.6829863190730837,0.6816214968152866,0.6794676850852969,0.6769488000182854,0.8162588455404244,0.8100787869863871,0.8057632624193175,33.00833,27.1788195,22.637499,806.0,5141.0
2021-09-10,4,Train_CV,0,64.992744,39.72142079166667,22.353874,0.7067644389682752,0.6913623358459993,0.6829863190730837,0.6816214968152866,0.6794676850852969,0.6769488000182854,0.8162588455404244,0.8100787869863871,0.8057632624193175,33.00833,27.1788195,22.637499,806.0,5141.0,53.72674,38.254843666666666,18.045536,0.7183548562548562,0.6895311854659235,0.6794389169409022,0.683314723707665,0.6804711962416917,0.6780259595386232,0.8147506740481741,0.8094157139196008,0.805729131054131,34.129166,27.786632416666667,23.479166,792.0,5550.0
2021-09-11,4,Train_CV,0,53.72674,38.254843666666666,18.045536,0.7183548562548562,0.6895311854659235,0.6794389169409022,0.683314723707665,0.6804711962416917,0.6780259595386232,0.8147506740481741,0.8094157139196008,0.805729131054131,34.129166,27.786632416666667,23.479166,792.0,5550.0,78.93244,57.04778041666666,34.04085,0.7060946811541838,0.6869303812248972,0.6797315220329819,0.6823716088195556,0.6802532526950643,0.6779612775410705,0.8137248002927446,0.8091043538265343,0.8054738486746231,31.308334,25.659028083333336,21.154165,781.0,5404.0
2021-09-14,4,Train_CV,1,80.55057,56.86822295833333,43.274967,0.7019408030222962,0.6894837914537355,0.6819197360075849,0.7309606125036406,0.7026931766925292,0.6878397675047311,0.8152474506631506,0.8095010291688839,0.8055580697485807,28.079168,24.659548625,21.325,782.0,3355.0,82.26739,59.30816970833334,30.060349,0.690459080381355,0.688742882134321,0.6872211376890652,0.7044736664559128,0.6973170238107155,0.6899956862745098,0.8140569329183956,0.8090958555225153,0.8054293626759942,30.429167,25.314583541666668,21.808334,665.0,3048.0
2021-09-15,4,Train_CV,0,82.26739,59.30816970833334,30.060349,0.690459080381355,0.688742882134321,0.6872211376890652,0.7044736664559128,0.6973170238107155,0.6899956862745098,0.8140569329183956,0.8090958555225153,0.8054293626759942,30.429167,25.314583541666668,21.808334,665.0,3048.0,83.81075,62.88345120833333,32.73489,0.6917194577352471,0.6868509758138233,0.6840873510208857,0.690384006540819,0.6874960241560789,0.6830268201284797,0.8142599309386185,0.8090287451298935,0.8051,31.2125,25.114062875,21.133333,772.0,5073.0
2021-09-16,4,Train_CV,0,83.81075,62.88345120833333,32.73489,0.6917194577352471,0.6868509758138233,0.6840873510208857,0.690384006540819,0.6874960241560789,0.6830268201284797,0.8142599309386185,0.8090287451298935,0.8051,31.2125,25.114062875,21.133333,772.0,5073.0,88.74485,67.43198241666667,39.014297,0.6877541838939174,0.6835314907041058,0.6796983727478144,0.6847,0.6836272493694592,0.6822156011376067,0.8140313694267517,0.8088786765659516,0.804980153469136,29.583334,23.586111375,19.316666,639.0,4459.0
2021-09-17,4,Train_CV,0,88.74485,67.43198241666667,39.014297,0.6877541838939174,0.6835314907041058,0.6796983727478144,0.6847,0.6836272493694592,0.6822156011376067,0.8140313694267517,0.8088786765659516,0.804980153469136,29.583334,23.586111375,19.316666,639.0,4459.0,91.48132,68.15201520833334,37.75742,0.6874387114524393,0.6827817392002081,0.6792673641772171,0.6845,0.6822799418347478,0.6795,0.8129101231564207,0.8083258782489681,0.8048184285769856,29.004166,23.47447904166667,19.0875,771.0,4924.0
2021-09-18,4,Train_CV,0,91.48132,68.15201520833334,37.75742,0.6874387114524393,0.6827817392002081,0.6792673641772171,0.6845,0.6822799418347478,0.6795,0.8129101231564207,0.8083258782489681,0.8048184285769856,29.004166,23.47447904166667,19.0875,771.0,4924.0,91.73942,64.79002129166666,27.716764,0.6850503333282542,0.6806632819528993,0.67759594017094,0.6817903927813163,0.6809443552089561,0.6796436253924228,0.8152058206097177,0.8089809885957666,0.8042338764376625,31.616667,24.349132041666667,19.324999,764.0,5412.0
2021-09-19,4,Train_CV,0,91.73942,64.79002129166666,27.716764,0.6850503333282542,0.6806632819528993,0.67759594017094,0.6817903927813163,0.6809443552089561,0.6796436253924228,0.8152058206097177,0.8089809885957666,0.8042338764376625,31.616667,24.349132041666667,19.324999,764.0,5412.0,88.088905,58.48475616666667,39.360016,0.6813599493520036,0.6777508126954351,0.6751935704505788,0.682152229299363,0.6811994672774245,0.6800014483946116,0.814421034435672,0.8089543138517072,0.8048616614539107,27.104166,22.824826041666668,20.079168,719.0,5103.0
2021-09-20,4,Train_CV,0,88.088905,58.48475616666667,39.360016,0.6813599493520036,0.6777508126954351,0.6751935704505788,0.682152229299363,0.6811994672774245,0.6800014483946116,0.814421034435672,0.8089543138517072,0.8048616614539107,27.104166,22.824826041666668,20.079168,719.0,5103.0,89.82065,58.981263875,41.035282,0.6796497326203208,0.6761141573084292,0.6726784188034188,0.6821,0.680753241021741,0.6793808073781648,0.8141345147363529,0.8083636368411994,0.8043558885441051,27.85,22.659201291666665,19.308334,765.0,4946.0
2021-09-22,4,Train_CV,1,94.90241,70.6033865,47.47645,0.7990062570806717,0.734466327921064,0.6748167735042735,0.8056028316682752,0.7428443802405353,0.6821,0.8131375752414064,0.8074464646675025,0.8030028133903134,23.404167,19.816840208333332,17.258333,732.0,4480.0,81.225,66.593270875,46.86667,0.7182106940224893,0.7031322384742368,0.6896182346141999,0.7470242559990551,0.7303420915383846,0.714558042714247,0.8132900106603782,0.807373248461241,0.8030870205294436,25.200003,20.440798791666666,16.891668,722.0,4558.0
2021-09-23,4,Train_CV,1,81.225,66.593270875,46.86667,0.7182106940224893,0.7031322384742368,0.6896182346141999,0.7470242559990551,0.7303420915383846,0.714558042714247,0.8132900106603782,0.807373248461241,0.8030870205294436,25.200003,20.440798791666666,16.891668,722.0,4558.0,80.098045,67.93482458333334,45.44667,0.6902455528521222,0.686629682750802,0.6823271733187535,0.7143979318734793,0.7038872005641595,0.6919071451918978,0.8137227753525745,0.8072355845830984,0.8031193413636943,27.429167,22.46197875,18.945833,736.0,4768.0
