instante,HS10_min,HS10_mean,HS10_max,HS20_min,HS20_mean,HS20_max,HS30_min,HS30_mean,HS30_max,HS40_min,HS40_mean,HS40_max,HS50_min,HS50_mean,HS50_max,HS60_min,HS60_mean,HS60_max,TS30_min,TS30_mean,TS30_max,dendrometro_min,dendrometro_mean,dendrometro_max,litros_arbol_last,litros_intervalo_sum,evento_riego_max,TA_min,TA_mean,TA_max,HA_min,HA_mean,HA_max,radiacion_sum
2023-05-27,0.7661111141830246,0.7824946353855223,0.7959675587110868,0.7627,0.7731691913260125,0.783,0.7372,0.7461097364760835,0.7541,0.7262,0.7322139174402883,0.7374,0.8358,0.8384607479384737,0.8417783724740578,0.8420430705394191,0.8458845884022064,0.8503783724740579,20.0,20.236332927254264,20.4,37.9525,37.963106810419966,37.97205826039387,203.6,0.0,0.0,14.99,19.230138888888888,25.02,38.25,66.73965277777778,94.43333333333334,32732.34
2023-05-28,0.7557,0.7816177911591718,0.8410858407079645,0.7513,0.7733910629517935,0.8331221730716063,0.7274,0.7417782229259117,0.7835742880840475,0.7196245065789474,0.7252272859960948,0.7346426873099253,0.8316136761487966,0.834007936129406,0.8375477743986729,0.8372110619469028,0.8392096346648081,0.8419932780082987,20.0,20.21781681988435,20.4,37.955,37.988845218501126,38.0025,203.6,0.0,0.0,13.91,17.273472222222225,24.17,49.68,86.17159722222223,99.0,25149.99
2023-05-29,0.794705904866047,0.8162043221721491,0.8291996791443851,0.7775149261891744,0.791406116616006,0.8107420514238319,0.7510149261891744,0.7608882150900346,0.7766083218136578,0.7332,0.7366235453772646,0.7402,0.8363,0.837627627205279,0.8387919292426755,0.8365076544559868,0.8387494630261307,0.84,20.2,20.35580779269113,20.6,37.995,38.01472439573196,38.0525,203.6,0.0,0.0,13.92,18.485069444444445,25.36,38.97,77.98868055555556,99.0,33104.34
2023-05-30,0.7841667759562841,0.8036381793293974,0.8199551120831056,0.7639609956236324,0.7728787441449768,0.7804816422449543,0.7395,0.745956336032778,0.7521971569163477,0.7283288998357963,0.7319995311795338,0.7351,0.8335,0.8346336887899907,0.8362788524590165,0.8319001639344262,0.8340403174334143,0.8364420448332422,20.6,20.78420639247899,21.0,37.9975,38.01794003877675,38.03,203.6,0.0,0.0,15.48,18.68027777777778,23.95,53.32,77.44291666666668,96.6,26710.65
2023-05-31,0.7673605095541401,0.8034856367302633,0.8576,0.7529488817891374,0.7841247909096732,0.8498321656050956,0.7295503184713377,0.7539617488480791,0.8241092356687898,0.7217,0.7407176149193205,0.8052948881789137,0.8307162679425837,0.8341562472994002,0.8408063694267516,0.8297639109697933,0.8307382277883879,0.8318018032786885,20.6,21.018375596537453,21.6,37.99861244019139,38.010211525393245,38.0175,232.6,29.0,1.0,14.74,19.673194444444444,26.46,43.39,71.34993055555555,95.2,34176.84
2023-06-01,0.8072368421052631,0.8272869832190239,0.8566,0.7733,0.8012526163424097,0.8434,0.7428448165869218,0.7656277778634553,0.813415127388535,0.7277416267942584,0.7443851600447613,0.7571,0.8318,0.8341883428237309,0.836,0.8279,0.8285528702006455,0.8302,21.0,21.349754979400736,21.6,38.0025,38.02282105711703,38.0375,261.2,28.599999999999994,1.0,13.98,19.389166666666668,25.09,47.41,75.84541666666667,96.5,39317.61
2023-06-02,0.8048767145135567,0.8269614761505686,0.8557478939157567,0.7756,0.8019029318422904,0.8419,0.7435350318471338,0.7659084844691955,0.8058966507177033,0.7271,0.7408133642059676,0.7487,0.8318,0.8335943360839427,0.8349,0.8263,0.8268656721959664,0.8279025518341308,21.2,21.460529344869336,21.83312101910828,38.0225,38.04692004646626,38.0625,287.0,25.80000000000001,1.0,15.83,20.04958333333333,24.75,52.69,76.87958333333333,96.3,33953.55
2023-06-03,0.8169544585987261,0.830310662299314,0.853368899521531,0.7917,0.807066317671642,0.8385688995215311,0.7578,0.770411392368332,0.8073,0.7355374603174603,0.745065443888352,0.7603834130781499,0.8321,0.8377997219221731,0.8458,0.8249,0.8282472505415597,0.8334066985645934,21.4,21.529945689741147,22.0,38.0425,38.084954890561605,38.1075,316.2,29.19999999999999,1.0,15.996666666666668,18.518541666666668,22.49,65.07,88.43923611111111,97.9,20398.23
2023-06-04,0.812262360446571,0.8283800538969415,0.8538,0.7809054226475278,0.8032641117003605,0.8386353503184714,0.7477198728139904,0.7675226578428894,0.7974665071770335,0.7302,0.7395076273774062,0.7475,0.8367,0.8388608936531117,0.8425,0.8279,0.8293160814037972,0.8318,21.0,21.372964431714635,22.0,38.0925,38.102453680343444,38.1125,345.0,28.80000000000001,1.0,14.65,19.975347222222222,25.48,49.15,74.99604166666667,97.5,47467.14
2023-06-05,0.8110062200956938,0.8307555159394365,0.8589,0.7805302839116719,0.8049730814813603,0.8438931419457735,0.7468,0.7689628772492193,0.8086038155802862,0.7232346581875994,0.735252181631417,0.7417,0.833944089456869,0.835948039828676,0.8374,0.8258022328548644,0.8266654397732776,0.8278394904458598,21.4,21.81766979166043,22.4,38.0931449044586,38.10978032405856,38.125,390.6,45.60000000000002,1.0,14.65,20.07166666666667,25.71,50.38,75.86868055555556,97.9,46845.63
